project_id,budget_year,block_no,block_name,role_in_project,block_total_amount
45,2024,B,株式会社インターグループ,内閣官房長官記者会見における日英同時通訳業務,10209000.0
45,2024,C,株式会社ステージ,内閣官房長官記者会見における日英同時通訳音響機器運用業務,11816000.0
46,2024,A,国立研究開発法人宇宙航空研究開発機構,情報収集衛星の研究・開発,41854996000.0
46,2024,B,国立研究開発法人情報通信研究機構,情報収集衛星の研究・開発,9490699000.0
46,2024,C,日本電気(株),情報収集衛星に係る地上システムの開発等,6992803000.0
46,2024,D,三菱重工業(株),情報収集衛星に係るロケット打上げ輸送サービス,3105268000.0
46,2024,E,スペースワン(株),情報収集衛星に係るロケット打上げ輸送サービス,893500000.0
46,2024,F,(株)日立製作所,情報収集衛星に関する調査研究等,671663000.0
46,2024,G,(株)三菱総合研究所,情報収集衛星に係る地上システムの開発支援等,690406000.0
46,2024,H,三菱電機(株),情報収集衛星に関する調査研究,175632000.0
46,2024,I,(株)パスコ,情報収集衛星に関する調査研究,149909000.0
46,2024,J,(株)エイ・イー・エス,情報収集衛星に関する調査研究,141902000.0
46,2024,K,ジャパンメンテナンスアンドオペレーションサービス(株),情報収集衛星に係る地上システムの開発,83923000.0
46,2024,L,(株)ＮＴＴデータ,情報収集衛星に関する調査研究,48620000.0
46,2024,M,富士通(株),情報収集衛星に関する調査研究,45248000.0
46,2024,N,スカパーＪＳＡＴ(株),情報収集衛星に関する調査研究,21352000.0
46,2024,O,民間会社等,情報収集衛星の研究・開発,39788492000.0
46,2024,P,民間会社,情報収集衛星の研究・開発,7049260000.0
46,2024,Q,民間会社,情報収集衛星に係る地上システムの開発等,2700313000.0
46,2024,R,民間会社等,情報収集衛星に係るロケット打上げ輸送サービス,262176000.0
46,2024,S,民間会社,情報収集衛星に係る地上システムの開発等,207916000.0
46,2024,T,民間会社等,情報収集衛星に係る地上システムの開発支援等,205247000.0
46,2024,U,民間会社,情報収集衛星に関する調査研究,7979000.0
46,2024,V,民間会社,情報収集衛星に関する調査研究,1316000.0
46,2024,W,民間会社,情報収集衛星に係る地上システムの開発,72959000.0
46,2024,X,民間会社,情報収集衛星に関する調査研究,3357000.0
47,2024,A,株式会社霞が関トラベル　ほか,海外のサイバーセキュリティ関係機関との協調・連携等,34428377.0
47,2024,B,ＮＥＣセキュリティ株式会社　ほか,情報セキュリティ緊急支援チーム(CYMAT)要員等の訓練・運用,23345731.0
47,2024,C,パシフィックコンサルタンツ株式会社,重要インフラ分野横断的演習企画実施支援,49940000.0
47,2024,D,株式会社Ａｒｍｏｒｉｓ　ほか,政府デジタル人材へのサイバーセキュリティ研修,12002652.0
47,2024,E,株式会社スコープ　ほか,サイバーセキュリティに係る緊急情報発信・意識啓発の方策の強化,45098802.0
47,2024,F,株式会社　ＡＧＥＳＴ,サイバーセキュリティ対処人材に係る競技事業,3740000.0
48,2024,A,ボストン・コンサルティング・グループ合同会社,的確なサイバーセキュリティ政策の立案等のための検討,19800000.0
48,2024,B,株式会社三菱総合研究所　ほか,サプライチェーンリスク対応のための技術検証体制構築に関する調査費,257883120.0
48,2024,C,一般社団法人ＪＰＣＥＲＴコーディネーションセンター,サイバーセキュリティ協議会の運用,50332405.0
48,2024,D,一般財団法人　海外通信・放送コンサルティング協力　ほか,グローバルな脅威情報共有及び事故対応等に係る連携の強化,11746194.0
48,2024,E,一般財団法人　海外通信・放送コンサルティング協力　ほか,国際連携によるサイバー攻撃即応体制の確立,109238719.0
48,2024,F,アライドテレシス株式会社,「政府機関等のサイバーセキュリティ対策のための統一基準群」に基づく施策の評価,22878900.0
48,2024,G,ＫＰＭＧコンサルティング株式会社　ほか,各府省庁等の情報システムに対するマネジメント監査及びペネトレーションテスト,408870000.0
48,2024,H,個人Ａ　ほか,「政府情報システムのためのセキュリティ評価制度（ISMAP）」の制度運営に係る経費,303600.0
48,2024,I,独立行政法人　情報処理推進機構,独立行政法人及び指定法人におけるサイバーセキュリティ施策の評価委託,400452901.0
48,2024,J,パシフィックコンサルタンツ株式会社,重要インフラのサイバーセキュリティに係る基準整備等の推進,16500000.0
48,2024,K,東日本電信電話株式会社　ほか,サイバーセキュリティインシデントに係る調査,116360.0
48,2024,L,一般社団法人ＪＰＣＥＲＴコーディネーションセンター,国際的なインシデント対応のためのCSIRT機能の構築・運用,22636401.0
48,2024,M,三井不動産株式会社　ほか,サイバーセキュリティ対処調整センターの運用,26390935.0
48,2024,N,ＴＩＳ株式会社　ほか,社会経済を支える事業者等におけるリスク評価の実施支援等,36770007.0
48,2024,O,ニュートン・コンサルティング株式会社,情報共有システムを活用した演習・訓練の実施,49500000.0
48,2024,P,株式会社日立製作所　ほか,大阪万博におけるサイバーセキュリティの確保に向けた取組の推進,154761200.0
48,2024,Q,みずほリサーチ＆テクノロジーズ株式会社　ほか,ナショナルサート機能強化に向けた調査・研究費,43819875.0
48,2024,R,有限責任監査法人トーマツ,政府統一基準群改定支援事業,22000000.0
49,2024,A,株式会社アイネット,人身安全関連事案に対する国民意識の向上,6834520.0
49,2024,B,部外有識者Ａほか,人身安全関連事案に従事する都道府県警察の警察官の対応能力向上,161800.0
50,2024,A,PwCコンサルティング合同会社,,25121000.0
50,2024,B,日本経済新聞社,,999000.0
50,2024,C,日本経済社,,1000000.0
56,2024,A,民間企業,,1553699000.0
56,2024,B,再委託先,,269427400.0
56,2024,C,再々委託先,,16500000.0
74,2024,A,株式会社日立社会情報サービス,プロジェクト進行・管理等,201841000.0
74,2024,B,東海ソフト株式会社,保守・運用の支援作業、改修作業／gBizConnectの改修作業及び環境構築作業,38280000.0
74,2024,C,株式会社ＣＭＣ　Ｓｏｌｕｔｉｏｎｓ,gBizConnectの改修作業及び環境構築作業,15840000.0
74,2024,D,株式会社アズールドットネット,gBizConnectの改修作業及び環境構築作業,7568000.0
74,2024,E,サイバートラスト株式会社,セキュリティ検査,7150000.0
74,2024,F,株式会社日本科学技術研修所,gBizConnectの調査・検証支援及び環境構築作業,3696000.0
